ID,checking_balance,months_loan_duration,credit_history,purpose,amount,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,job,dependents,telephone,foreign_worker,default
616,1 - 200 $,48,fully repaid,business,12204,1 - 4 yrs,2,single male,none,2,other,48,bank,own,1,mangement self-employed,1,yes,yes,0
617,1 - 200 $,60,delayed,radio/tv,9157,1 - 4 yrs,2,single male,none,2,unknown/none,27,none,for free,1,mangement self-employed,1,none,yes,0
618,< 0 $,6,critical,car (new),3676,1 - 4 yrs,1,single male,none,3,real estate,37,none,rent,3,skilled employee,2,none,yes,0
619,1 - 200 $,30,repaid,furniture,3441,1 - 4 yrs,2,female,co-applicant,4,other,21,none,rent,1,skilled employee,1,none,yes,1
620,unknown,12,repaid,car (new),640,1 - 4 yrs,4,divorced male,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,0
621,1 - 200 $,21,critical,business,3652,4 - 7 yrs,2,single male,none,3,building society savings,27,none,own,2,skilled employee,1,none,yes,0
622,unknown,18,critical,car (new),1530,1 - 4 yrs,3,single male,none,2,building society savings,32,bank,own,2,skilled employee,1,none,yes,1
623,unknown,48,repaid,business,3914,1 - 4 yrs,4,divorced male,none,2,real estate,38,bank,own,1,skilled employee,1,none,yes,1
624,< 0 $,12,repaid,furniture,1858,0 - 1 yrs,4,female,none,1,other,22,none,rent,1,skilled employee,1,none,yes,0
625,< 0 $,18,repaid,radio/tv,2600,1 - 4 yrs,4,single male,none,4,unknown/none,65,none,for free,2,skilled employee,1,none,yes,1
626,unknown,15,repaid,radio/tv,1979,> 7 yrs,4,single male,none,2,other,35,none,own,1,skilled employee,1,none,yes,0
627,> 200 $,6,repaid,furniture,2116,1 - 4 yrs,2,single male,none,2,real estate,41,none,own,1,skilled employee,1,yes,yes,0
628,1 - 200 $,9,fully repaid this bank,car (new),1437,4 - 7 yrs,2,single male,none,3,unknown/none,29,none,own,1,skilled employee,1,none,yes,1
629,unknown,42,critical,furniture,4042,1 - 4 yrs,4,single male,none,4,real estate,36,none,own,2,skilled employee,1,yes,yes,0
630,unknown,9,repaid,education,3832,> 7 yrs,1,single male,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,0
631,< 0 $,24,repaid,radio/tv,3660,1 - 4 yrs,2,female,none,4,other,28,none,own,1,skilled employee,1,none,yes,0
632,< 0 $,18,fully repaid this bank,furniture,1553,1 - 4 yrs,4,single male,none,3,other,44,bank,own,1,skilled employee,1,none,yes,1
633,1 - 200 $,15,repaid,radio/tv,1444,0 - 1 yrs,4,single male,none,1,building society savings,23,none,own,1,skilled employee,1,none,yes,0
634,unknown,9,repaid,furniture,1980,0 - 1 yrs,2,female,co-applicant,2,other,19,none,rent,2,skilled employee,1,none,yes,1
635,1 - 200 $,24,repaid,car (new),1355,0 - 1 yrs,3,female,none,4,other,25,none,own,1,unskilled resident,1,yes,yes,1
636,unknown,12,repaid,education,1393,> 7 yrs,4,single male,none,4,building society savings,47,bank,own,3,skilled employee,2,yes,yes,0
637,unknown,24,repaid,radio/tv,1376,4 - 7 yrs,4,female,none,1,other,28,none,own,1,skilled employee,1,none,yes,0
638,unknown,60,delayed,radio/tv,15653,4 - 7 yrs,2,single male,none,4,other,21,none,own,2,skilled employee,1,yes,yes,0
639,unknown,12,repaid,radio/tv,1493,0 - 1 yrs,4,female,none,3,other,34,none,own,1,skilled employee,2,none,yes,0
640,< 0 $,42,delayed,radio/tv,4370,4 - 7 yrs,3,single male,none,2,building society savings,26,bank,own,2,skilled employee,2,yes,yes,1
641,< 0 $,18,repaid,education,750,unemployed,4,female,none,1,real estate,27,none,own,1,unemployed non-resident,1,none,yes,1
642,1 - 200 $,15,repaid,repairs,1308,> 7 yrs,4,single male,none,4,other,38,none,own,2,unskilled resident,1,none,yes,0
643,unknown,15,repaid,education,4623,1 - 4 yrs,3,single male,none,2,building society savings,40,none,own,1,mangement self-employed,1,yes,yes,1
644,unknown,24,critical,radio/tv,1851,4 - 7 yrs,4,married male,guarantor,2,other,33,none,own,2,skilled employee,1,yes,yes,0
645,< 0 $,18,critical,radio/tv,1880,4 - 7 yrs,4,married male,none,1,building society savings,32,none,own,2,mangement self-employed,1,yes,yes,0
646,unknown,36,delayed,business,7980,0 - 1 yrs,4,single male,none,4,other,27,none,rent,2,skilled employee,1,yes,yes,1
647,< 0 $,30,fully repaid,furniture,4583,1 - 4 yrs,2,divorced male,guarantor,2,real estate,32,none,own,2,skilled employee,1,none,yes,0
648,unknown,12,repaid,car (new),1386,1 - 4 yrs,2,female,none,2,building society savings,26,none,own,1,skilled employee,1,none,yes,1
649,> 200 $,24,repaid,car (new),947,4 - 7 yrs,4,single male,none,3,unknown/none,38,bank,for free,1,skilled employee,2,none,yes,1
650,< 0 $,12,repaid,education,684,1 - 4 yrs,4,single male,none,4,other,40,none,rent,1,unskilled resident,2,none,yes,1
651,< 0 $,48,repaid,education,7476,4 - 7 yrs,4,single male,none,1,unknown/none,50,none,for free,1,mangement self-employed,1,yes,yes,0
652,1 - 200 $,12,repaid,furniture,1922,1 - 4 yrs,4,single male,none,2,building society savings,37,none,own,1,unskilled resident,1,none,yes,1
653,< 0 $,24,repaid,car (new),2303,> 7 yrs,4,single male,co-applicant,1,real estate,45,none,own,1,skilled employee,1,none,yes,1
654,1 - 200 $,36,delayed,car (new),8086,> 7 yrs,2,single male,none,4,other,42,none,own,4,mangement self-employed,1,yes,yes,1
655,unknown,24,critical,car (used),2346,4 - 7 yrs,4,single male,none,3,other,35,none,own,2,skilled employee,1,yes,yes,0
656,< 0 $,14,repaid,car (new),3973,unemployed,1,single male,none,4,unknown/none,22,none,for free,1,skilled employee,1,none,yes,0
657,1 - 200 $,12,repaid,car (new),888,> 7 yrs,4,single male,none,4,other,41,bank,own,1,unskilled resident,2,none,yes,1
658,unknown,48,repaid,radio/tv,10222,4 - 7 yrs,4,single male,none,3,other,37,stores,own,1,skilled employee,1,yes,yes,0
659,1 - 200 $,30,fully repaid,business,4221,1 - 4 yrs,2,female,none,1,other,28,none,own,2,skilled employee,1,none,yes,0
660,1 - 200 $,18,critical,furniture,6361,> 7 yrs,2,single male,none,1,unknown/none,41,none,own,1,skilled employee,1,yes,yes,0
661,> 200 $,12,repaid,radio/tv,1297,1 - 4 yrs,3,married male,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,0
662,< 0 $,12,repaid,car (new),900,1 - 4 yrs,4,married male,none,2,other,23,none,own,1,skilled employee,1,none,yes,1
663,unknown,21,repaid,furniture,2241,> 7 yrs,4,single male,none,2,real estate,50,none,own,2,skilled employee,1,none,yes,0
664,1 - 200 $,6,delayed,furniture,1050,unemployed,4,single male,none,1,building society savings,35,stores,own,2,mangement self-employed,1,yes,yes,0
665,> 200 $,6,critical,education,1047,1 - 4 yrs,2,female,none,4,building society savings,50,none,own,1,unskilled resident,1,none,yes,0
666,unknown,24,critical,others,6314,unemployed,4,single male,co-applicant,2,unknown/none,27,bank,own,2,mangement self-employed,1,yes,yes,0
667,1 - 200 $,30,fully repaid this bank,furniture,3496,1 - 4 yrs,4,single male,none,2,other,34,stores,own,1,skilled employee,2,yes,yes,0
668,unknown,48,fully repaid this bank,business,3609,1 - 4 yrs,1,female,none,1,real estate,27,stores,own,1,skilled employee,1,none,yes,0
669,< 0 $,12,critical,car (new),4843,> 7 yrs,3,single male,co-applicant,4,building society savings,43,none,rent,2,skilled employee,1,yes,yes,1
670,> 200 $,30,critical,radio/tv,3017,> 7 yrs,4,single male,none,4,building society savings,47,none,own,1,skilled employee,1,none,yes,0
671,unknown,24,critical,business,4139,1 - 4 yrs,3,single male,none,3,building society savings,27,none,own,2,unskilled resident,1,yes,yes,0
672,unknown,36,repaid,business,5742,4 - 7 yrs,2,single male,none,2,other,31,none,own,2,skilled employee,1,yes,yes,0
673,unknown,60,repaid,car (new),10366,> 7 yrs,2,single male,none,4,building society savings,42,none,own,1,mangement self-employed,1,yes,yes,0
674,unknown,6,critical,car (new),2080,1 - 4 yrs,1,married male,none,2,other,24,none,own,1,skilled employee,1,none,yes,0
675,unknown,21,delayed,business,2580,0 - 1 yrs,4,single male,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,1
676,unknown,30,critical,radio/tv,4530,4 - 7 yrs,4,female,none,4,other,26,none,rent,1,mangement self-employed,1,yes,yes,0
677,unknown,24,critical,furniture,5150,> 7 yrs,4,single male,none,4,other,33,none,own,1,skilled employee,1,yes,yes,0
678,1 - 200 $,72,repaid,radio/tv,5595,1 - 4 yrs,2,married male,none,2,other,24,none,own,1,skilled employee,1,none,yes,1
679,< 0 $,24,repaid,radio/tv,2384,> 7 yrs,4,single male,none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,0
680,unknown,18,repaid,radio/tv,1453,0 - 1 yrs,3,female,none,1,real estate,26,none,own,1,skilled employee,1,none,yes,0
681,unknown,6,repaid,education,1538,0 - 1 yrs,1,female,none,2,unknown/none,56,none,own,1,skilled employee,1,none,yes,0
682,unknown,12,repaid,radio/tv,2279,1 - 4 yrs,4,single male,none,4,unknown/none,37,none,for free,1,skilled employee,1,yes,yes,0
683,unknown,15,delayed,radio/tv,1478,1 - 4 yrs,4,married male,none,3,real estate,33,bank,own,2,skilled employee,1,none,yes,0
684,unknown,24,critical,radio/tv,5103,0 - 1 yrs,3,married male,none,3,unknown/none,47,none,for free,3,skilled employee,1,yes,yes,0
685,1 - 200 $,36,delayed,business,9857,4 - 7 yrs,1,single male,none,3,building society savings,31,none,own,2,unskilled resident,2,yes,yes,0
686,unknown,60,repaid,car (new),6527,1 - 4 yrs,4,single male,none,4,unknown/none,34,none,for free,1,skilled employee,2,yes,yes,0
687,> 200 $,10,critical,radio/tv,1347,4 - 7 yrs,4,single male,none,2,building society savings,27,none,own,2,skilled employee,1,yes,yes,0
688,1 - 200 $,36,delayed,car (new),2862,> 7 yrs,4,single male,none,3,unknown/none,30,none,for free,1,skilled employee,1,none,yes,0
689,unknown,9,repaid,radio/tv,2753,> 7 yrs,3,single male,co-applicant,4,other,35,none,own,1,skilled employee,1,yes,yes,0
690,< 0 $,12,repaid,car (new),3651,1 - 4 yrs,1,single male,none,3,building society savings,31,none,own,1,skilled employee,2,none,yes,0
691,< 0 $,15,critical,furniture,975,1 - 4 yrs,2,divorced male,none,3,building society savings,25,none,own,2,skilled employee,1,none,yes,0
692,1 - 200 $,15,repaid,repairs,2631,1 - 4 yrs,3,female,none,2,real estate,25,none,own,1,unskilled resident,1,none,yes,0
693,1 - 200 $,24,repaid,radio/tv,2896,0 - 1 yrs,2,single male,none,1,other,29,none,own,1,skilled employee,1,none,yes,0
694,< 0 $,6,critical,car (new),4716,0 - 1 yrs,1,single male,none,3,real estate,44,none,own,2,unskilled resident,2,none,yes,0
695,unknown,24,repaid,radio/tv,2284,4 - 7 yrs,4,single male,none,2,other,28,none,own,1,skilled employee,1,yes,yes,0
696,unknown,6,repaid,car (used),1236,1 - 4 yrs,2,single male,none,4,building society savings,50,none,rent,1,skilled employee,1,none,yes,0
697,1 - 200 $,12,repaid,radio/tv,1103,4 - 7 yrs,4,single male,guarantor,3,real estate,29,none,own,2,skilled employee,1,none,no,0
698,unknown,12,critical,car (new),926,unemployed,1,female,none,2,building society savings,38,none,own,1,unemployed non-resident,1,none,yes,0
699,unknown,18,critical,radio/tv,1800,1 - 4 yrs,4,single male,none,2,other,24,none,own,2,skilled employee,1,none,yes,0
700,> 200 $,15,repaid,education,1905,> 7 yrs,4,single male,none,4,other,40,none,rent,1,mangement self-employed,1,yes,yes,0
701,unknown,12,repaid,furniture,1123,1 - 4 yrs,4,female,none,4,other,29,none,rent,1,unskilled resident,1,none,yes,1
702,< 0 $,48,critical,car (used),6331,> 7 yrs,4,single male,none,4,unknown/none,46,none,for free,2,skilled employee,1,yes,yes,1
703,> 200 $,24,repaid,radio/tv,1377,> 7 yrs,4,female,none,2,unknown/none,47,none,for free,1,skilled employee,1,yes,yes,0
704,1 - 200 $,30,delayed,business,2503,> 7 yrs,4,single male,none,2,building society savings,41,stores,own,2,skilled employee,1,none,yes,0
705,1 - 200 $,27,repaid,business,2528,0 - 1 yrs,4,female,none,1,building society savings,32,none,own,1,skilled employee,2,yes,yes,0
706,unknown,15,repaid,car (new),5324,> 7 yrs,1,female,none,4,unknown/none,35,none,for free,1,skilled employee,1,none,yes,0
707,1 - 200 $,48,repaid,car (new),6560,4 - 7 yrs,3,single male,none,2,building society savings,24,none,own,1,skilled employee,1,none,yes,1
708,1 - 200 $,12,fully repaid,furniture,2969,0 - 1 yrs,4,female,none,3,building society savings,25,none,rent,2,skilled employee,1,none,yes,1
709,1 - 200 $,9,repaid,radio/tv,1206,> 7 yrs,4,female,none,4,real estate,25,none,own,1,skilled employee,1,none,yes,0
710,1 - 200 $,9,repaid,radio/tv,2118,1 - 4 yrs,2,single male,none,2,real estate,37,none,own,1,unskilled resident,2,none,yes,0
711,unknown,18,critical,radio/tv,629,> 7 yrs,4,single male,none,3,building society savings,32,bank,own,2,mangement self-employed,1,yes,yes,0
712,< 0 $,6,fully repaid this bank,education,1198,> 7 yrs,4,female,none,4,unknown/none,35,none,for free,1,skilled employee,1,none,yes,1
713,unknown,21,repaid,car (used),2476,> 7 yrs,4,single male,none,4,real estate,46,none,own,1,mangement self-employed,1,yes,yes,0
714,< 0 $,9,critical,radio/tv,1138,1 - 4 yrs,4,single male,none,4,real estate,25,none,own,2,unskilled resident,1,none,yes,0
715,1 - 200 $,60,repaid,car (new),14027,4 - 7 yrs,4,single male,none,2,unknown/none,27,none,own,1,mangement self-employed,1,yes,yes,1
716,unknown,30,critical,car (used),7596,> 7 yrs,1,single male,none,4,other,63,none,own,2,skilled employee,1,none,yes,0
717,unknown,30,critical,radio/tv,3077,> 7 yrs,3,single male,none,2,other,40,none,own,2,skilled employee,2,yes,yes,0
718,unknown,18,repaid,radio/tv,1505,1 - 4 yrs,4,single male,none,2,unknown/none,32,none,for free,1,mangement self-employed,1,yes,yes,0
719,> 200 $,24,critical,radio/tv,3148,1 - 4 yrs,3,single male,none,2,other,31,none,own,2,skilled employee,1,yes,yes,0
720,1 - 200 $,20,fully repaid,car (used),6148,> 7 yrs,3,married male,none,4,other,31,bank,own,2,skilled employee,1,yes,yes,0
721,> 200 $,9,fully repaid,radio/tv,1337,0 - 1 yrs,4,single male,none,2,other,34,none,own,2,mangement self-employed,1,yes,yes,1
722,1 - 200 $,6,fully repaid this bank,education,433,0 - 1 yrs,4,female,none,2,building society savings,24,bank,rent,1,skilled employee,2,none,yes,1
723,< 0 $,12,repaid,car (new),1228,1 - 4 yrs,4,female,none,2,real estate,24,none,own,1,unskilled resident,1,none,yes,1
724,1 - 200 $,9,repaid,radio/tv,790,1 - 4 yrs,4,female,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,0
725,unknown,27,repaid,car (new),2570,1 - 4 yrs,3,female,none,3,real estate,21,none,rent,1,skilled employee,1,none,yes,1
726,unknown,6,critical,car (new),250,1 - 4 yrs,2,female,none,2,real estate,41,bank,own,2,unskilled resident,1,none,yes,0
727,unknown,15,critical,radio/tv,1316,1 - 4 yrs,2,married male,none,2,building society savings,47,none,own,2,unskilled resident,1,none,yes,0
728,< 0 $,18,repaid,radio/tv,1882,1 - 4 yrs,4,female,none,4,other,25,bank,rent,2,skilled employee,1,none,yes,1
729,1 - 200 $,48,fully repaid this bank,business,6416,> 7 yrs,4,female,none,3,unknown/none,59,none,rent,1,skilled employee,1,none,yes,1
730,> 200 $,24,critical,business,1275,1 - 4 yrs,2,divorced male,none,4,real estate,36,none,own,2,skilled employee,1,yes,yes,0
731,1 - 200 $,24,delayed,radio/tv,6403,0 - 1 yrs,1,single male,none,2,other,33,none,own,1,skilled employee,1,none,yes,0
732,< 0 $,24,repaid,radio/tv,1987,1 - 4 yrs,2,single male,none,4,real estate,21,none,rent,1,unskilled resident,2,none,yes,1
733,1 - 200 $,8,repaid,radio/tv,760,4 - 7 yrs,4,female,guarantor,2,real estate,44,none,own,1,unskilled resident,1,none,yes,0
734,unknown,24,repaid,car (used),2603,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,skilled employee,1,yes,yes,0
735,unknown,4,critical,car (new),3380,4 - 7 yrs,1,female,none,1,real estate,37,none,own,1,skilled employee,2,none,yes,0
736,1 - 200 $,36,fully repaid this bank,domestic appliances,3990,0 - 1 yrs,3,female,none,2,unknown/none,29,bank,own,1,unemployed non-resident,1,none,yes,0
737,1 - 200 $,24,repaid,car (used),11560,1 - 4 yrs,1,female,none,4,other,23,none,rent,2,mangement self-employed,1,none,yes,1
738,< 0 $,18,repaid,car (new),4380,1 - 4 yrs,3,single male,none,4,other,35,none,own,1,unskilled resident,2,yes,yes,0
739,unknown,6,critical,car (new),6761,4 - 7 yrs,1,single male,none,3,unknown/none,45,none,own,2,mangement self-employed,2,yes,yes,0
740,1 - 200 $,30,fully repaid,business,4280,1 - 4 yrs,4,female,none,4,other,26,none,rent,2,unskilled resident,1,none,yes,1
741,< 0 $,24,fully repaid this bank,car (new),2325,4 - 7 yrs,2,single male,none,3,other,32,bank,own,1,skilled employee,1,none,yes,0
742,1 - 200 $,10,fully repaid this bank,radio/tv,1048,1 - 4 yrs,4,single male,none,4,real estate,23,stores,own,1,unskilled resident,1,none,yes,0
743,unknown,21,repaid,radio/tv,3160,> 7 yrs,4,single male,none,3,building society savings,41,none,own,1,skilled employee,1,yes,yes,0
744,< 0 $,24,fully repaid this bank,furniture,2483,1 - 4 yrs,4,single male,none,4,real estate,22,stores,own,1,skilled employee,1,yes,yes,0
745,< 0 $,39,critical,furniture,14179,4 - 7 yrs,4,single male,none,4,building society savings,30,none,own,2,mangement self-employed,1,yes,yes,0
746,< 0 $,13,critical,business,1797,0 - 1 yrs,3,single male,none,1,building society savings,28,bank,own,2,unskilled resident,1,none,yes,0
747,< 0 $,15,repaid,car (new),2511,unemployed,1,female,none,4,other,23,none,rent,1,skilled employee,1,none,yes,0
748,< 0 $,12,repaid,car (new),1274,0 - 1 yrs,3,female,none,1,real estate,37,none,own,1,unskilled resident,1,none,yes,1
749,unknown,21,repaid,car (used),5248,1 - 4 yrs,1,single male,none,3,other,26,none,own,1,skilled employee,1,none,yes,0
750,unknown,15,repaid,car (used),3029,4 - 7 yrs,2,single male,none,2,other,33,none,own,1,skilled employee,1,none,yes,0
751,< 0 $,6,repaid,furniture,428,> 7 yrs,2,female,none,1,building society savings,49,bank,own,1,skilled employee,1,yes,yes,0
752,< 0 $,18,repaid,car (new),976,0 - 1 yrs,1,female,none,2,other,23,none,own,1,unskilled resident,1,none,yes,1
753,1 - 200 $,12,repaid,business,841,4 - 7 yrs,2,female,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,0
754,unknown,30,critical,radio/tv,5771,4 - 7 yrs,4,female,none,2,other,25,none,own,2,skilled employee,1,none,yes,0
755,unknown,12,delayed,repairs,1555,> 7 yrs,4,single male,none,4,unknown/none,55,none,for free,2,skilled employee,2,none,yes,1
756,< 0 $,24,repaid,car (new),1285,4 - 7 yrs,4,female,none,4,unknown/none,32,none,rent,1,skilled employee,1,none,yes,1
757,> 200 $,6,critical,car (new),1299,1 - 4 yrs,1,single male,none,1,real estate,74,none,own,3,unemployed non-resident,2,none,no,0
758,> 200 $,15,critical,radio/tv,1271,1 - 4 yrs,3,single male,none,4,unknown/none,39,none,for free,2,skilled employee,1,yes,yes,1
759,unknown,24,repaid,car (new),1393,1 - 4 yrs,2,single male,guarantor,2,real estate,31,none,own,1,skilled employee,1,yes,yes,0
760,< 0 $,12,critical,car (new),691,> 7 yrs,4,single male,none,3,building society savings,35,none,own,2,skilled employee,1,none,yes,1
761,unknown,15,critical,car (new),5045,> 7 yrs,1,female,none,4,other,59,none,own,1,skilled employee,1,yes,yes,0
762,< 0 $,18,critical,furniture,2124,1 - 4 yrs,4,female,none,4,real estate,24,none,rent,2,skilled employee,1,none,yes,1
763,< 0 $,12,repaid,radio/tv,2214,1 - 4 yrs,4,single male,none,3,building society savings,24,none,own,1,unskilled resident,1,none,yes,0
764,unknown,21,critical,car (new),12680,> 7 yrs,4,single male,none,4,unknown/none,30,none,for free,1,mangement self-employed,1,yes,yes,1
765,unknown,24,critical,car (new),2463,4 - 7 yrs,4,married male,none,3,building society savings,27,none,own,2,skilled employee,1,yes,yes,0
766,1 - 200 $,12,repaid,radio/tv,1155,> 7 yrs,3,married male,guarantor,3,real estate,40,bank,own,2,unskilled resident,1,none,yes,0
767,< 0 $,30,repaid,furniture,3108,0 - 1 yrs,2,divorced male,none,4,building society savings,31,none,own,1,unskilled resident,1,none,yes,1
768,unknown,10,repaid,car (used),2901,0 - 1 yrs,1,female,none,4,real estate,31,none,rent,1,skilled employee,1,none,yes,0
769,1 - 200 $,12,critical,furniture,3617,> 7 yrs,1,single male,none,4,other,28,none,rent,3,skilled employee,1,yes,yes,0
770,unknown,12,critical,radio/tv,1655,> 7 yrs,2,single male,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,0
771,< 0 $,24,repaid,car (used),2812,> 7 yrs,2,female,none,4,real estate,26,none,rent,1,skilled employee,1,none,yes,0
772,< 0 $,36,critical,education,8065,1 - 4 yrs,3,female,none,2,unknown/none,25,none,own,2,mangement self-employed,1,yes,yes,1
773,unknown,21,critical,car (used),3275,> 7 yrs,1,single male,none,4,other,36,none,own,1,mangement self-employed,1,yes,yes,0
774,unknown,24,critical,radio/tv,2223,> 7 yrs,4,single male,none,4,building society savings,52,bank,own,2,skilled employee,1,none,yes,0
775,> 200 $,12,critical,car (new),1480,unemployed,2,single male,none,4,unknown/none,66,bank,for free,3,unemployed non-resident,1,none,yes,0
776,< 0 $,24,repaid,car (new),1371,1 - 4 yrs,4,female,none,4,real estate,25,none,rent,1,skilled employee,1,none,yes,1
777,unknown,36,critical,car (new),3535,4 - 7 yrs,4,single male,none,4,other,37,none,own,2,skilled employee,1,yes,yes,0
778,< 0 $,18,repaid,radio/tv,3509,4 - 7 yrs,4,female,guarantor,1,real estate,25,none,own,1,skilled employee,1,none,yes,0
779,unknown,36,critical,car (used),5711,> 7 yrs,4,single male,none,2,other,38,none,own,2,mangement self-employed,1,yes,yes,0
780,1 - 200 $,18,repaid,repairs,3872,unemployed,2,female,none,4,other,67,none,own,1,skilled employee,1,yes,yes,0
781,1 - 200 $,39,critical,radio/tv,4933,4 - 7 yrs,2,single male,guarantor,2,real estate,25,none,own,2,skilled employee,1,none,yes,1
782,unknown,24,critical,car (new),1940,> 7 yrs,4,single male,none,4,real estate,60,none,own,1,skilled employee,1,yes,yes,0
783,1 - 200 $,12,fully repaid,retraining,1410,1 - 4 yrs,2,single male,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,0
784,1 - 200 $,12,repaid,car (new),836,0 - 1 yrs,4,female,none,2,building society savings,23,bank,own,1,unskilled resident,1,none,yes,1
785,1 - 200 $,20,repaid,car (used),6468,unemployed,1,divorced male,none,4,real estate,60,none,own,1,mangement self-employed,1,yes,yes,0
786,1 - 200 $,18,repaid,business,1941,1 - 4 yrs,4,single male,none,2,building society savings,35,none,own,1,unskilled resident,1,yes,yes,0
787,unknown,22,repaid,radio/tv,2675,> 7 yrs,3,single male,none,4,other,40,none,own,1,skilled employee,1,none,yes,0
788,unknown,48,critical,car (used),2751,> 7 yrs,4,single male,none,3,other,38,none,own,2,skilled employee,2,yes,yes,0
789,1 - 200 $,48,delayed,education,6224,> 7 yrs,4,single male,none,4,unknown/none,50,none,for free,1,skilled employee,1,none,yes,1
790,< 0 $,40,critical,education,5998,1 - 4 yrs,4,single male,none,3,unknown/none,27,bank,own,1,skilled employee,1,yes,yes,1
791,1 - 200 $,21,repaid,business,1188,> 7 yrs,2,female,none,4,building society savings,39,none,own,1,skilled employee,2,none,yes,1
792,unknown,24,repaid,car (used),6313,> 7 yrs,3,single male,none,4,other,41,none,own,1,mangement self-employed,2,yes,yes,0
793,unknown,6,critical,furniture,1221,1 - 4 yrs,1,married male,none,2,building society savings,27,none,own,2,skilled employee,1,none,yes,0
794,> 200 $,24,repaid,furniture,2892,> 7 yrs,3,divorced male,none,4,unknown/none,51,none,for free,1,skilled employee,1,none,yes,0
795,unknown,24,repaid,furniture,3062,> 7 yrs,4,single male,none,3,unknown/none,32,none,rent,1,skilled employee,1,yes,yes,0
796,unknown,9,repaid,furniture,2301,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,1,skilled employee,1,none,yes,0
797,< 0 $,18,repaid,car (used),7511,> 7 yrs,1,single male,none,4,building society savings,51,none,for free,1,skilled employee,2,yes,yes,1
798,unknown,12,critical,furniture,1258,0 - 1 yrs,2,female,none,4,building society savings,22,none,rent,2,unskilled resident,1,none,yes,0
799,unknown,24,delayed,car (new),717,> 7 yrs,4,married male,none,4,other,54,none,own,2,skilled employee,1,yes,yes,0
800,1 - 200 $,9,repaid,car (new),1549,0 - 1 yrs,4,single male,none,2,real estate,35,none,own,1,unemployed non-resident,1,none,yes,0
801,unknown,24,critical,education,1597,> 7 yrs,4,single male,none,4,unknown/none,54,none,for free,2,skilled employee,2,none,yes,0
802,1 - 200 $,18,critical,radio/tv,1795,> 7 yrs,3,female,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,0
803,< 0 $,20,critical,furniture,4272,> 7 yrs,1,female,none,4,building society savings,24,none,own,2,skilled employee,1,none,yes,0
804,unknown,12,critical,radio/tv,976,> 7 yrs,4,single male,none,4,other,35,none,own,2,skilled employee,1,none,yes,0
805,1 - 200 $,12,repaid,car (new),7472,unemployed,1,female,none,2,real estate,24,none,rent,1,unemployed non-resident,1,none,yes,0
806,< 0 $,36,repaid,car (new),9271,4 - 7 yrs,2,single male,none,1,other,24,none,own,1,skilled employee,1,yes,yes,1
807,1 - 200 $,6,repaid,radio/tv,590,0 - 1 yrs,3,married male,none,3,real estate,26,none,own,1,unskilled resident,1,none,no,0
808,unknown,12,critical,radio/tv,930,> 7 yrs,4,single male,none,4,real estate,65,none,own,4,skilled employee,1,none,yes,0
809,1 - 200 $,42,fully repaid this bank,car (used),9283,unemployed,1,single male,none,2,unknown/none,55,bank,for free,1,mangement self-employed,1,yes,yes,0
810,1 - 200 $,15,fully repaid,car (new),1778,0 - 1 yrs,2,female,none,1,real estate,26,none,rent,2,unemployed non-resident,1,none,yes,1
811,1 - 200 $,8,repaid,business,907,0 - 1 yrs,3,married male,none,2,real estate,26,none,own,1,skilled employee,1,yes,yes,0
812,1 - 200 $,6,repaid,radio/tv,484,4 - 7 yrs,3,married male,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,none,yes,0
813,< 0 $,36,critical,car (used),9629,4 - 7 yrs,4,single male,none,4,other,24,none,own,2,skilled employee,1,yes,yes,1
814,< 0 $,48,repaid,domestic appliances,3051,1 - 4 yrs,3,single male,none,4,other,54,none,own,1,skilled employee,1,none,yes,1
815,< 0 $,48,repaid,car (new),3931,4 - 7 yrs,4,single male,none,4,unknown/none,46,none,for free,1,skilled employee,2,none,yes,1
816,1 - 200 $,36,delayed,car (new),7432,1 - 4 yrs,2,female,none,2,building society savings,54,none,rent,1,skilled employee,1,none,yes,0
817,unknown,6,repaid,domestic appliances,1338,1 - 4 yrs,1,divorced male,none,4,real estate,62,none,own,1,skilled employee,1,none,yes,0
818,unknown,6,critical,radio/tv,1554,4 - 7 yrs,1,female,none,2,other,24,none,rent,2,skilled employee,1,yes,yes,0
819,< 0 $,36,repaid,others,15857,unemployed,2,divorced male,co-applicant,3,other,43,none,own,1,mangement self-employed,1,none,yes,0
820,< 0 $,18,repaid,radio/tv,1345,1 - 4 yrs,4,married male,none,3,real estate,26,bank,own,1,skilled employee,1,none,yes,1
